iter	Passed	Remaining
439	219235	279026
440	219710	278498
441	220090	277851
442	220600	277369
443	221132	276913
444	221577	276349
445	222039	275806
446	222459	275212
447	222950	274706
448	223432	274190
449	223859	273605
450	224378	273134
451	224853	272609
452	225296	272046
453	225778	271530
454	226221	270968
455	226695	270444
456	227134	269877
457	227644	269396
458	228089	268837
459	228571	268322
460	229021	267771
461	229471	267219
462	229925	266674
463	230399	266151
464	230870	265625
465	231333	265090
466	231767	264522
467	232209	263964
468	232671	263429
469	233133	262895
470	233577	262340
471	234071	261842
472	234440	261205
473	234912	260683
474	235370	260146
475	235905	259693
476	236360	259153
477	236810	258608
478	237250	258053
479	237716	257526
480	238201	257019
481	238690	256517
482	239150	255985
483	239605	255447
484	240110	254962
485	240601	254463
486	241050	253920
487	241481	253357
488	241939	252824
489	242408	252302
490	242852	251755
491	243299	251211
492	243742	250663
493	244243	250176
494	244783	249728
495	245300	249256
496	245801	248768
497	246308	248286
498	246786	247775
499	247314	247314
500	247822	246833
501	248299	246320
502	248790	245822
503	249278	245321
504	249775	244829
505	250310	244374
506	250715	243792
507	251171	243260
508	251661	242762
509	252141	242253
510	252653	241775
511	253162	241295
512	253668	240812
513	254151	240306
514	254616	239784
515	255096	239276
516	255559	238752
517	256045	238250
518	256558	237774
519	257061	237287
520	257488	236730
521	257933	236191
522	258409	235680
523	258917	235200
524	259440	234732
525	259947	234249
526	260334	233659
527	260862	233195
528	261370	232713
529	261922	232271
530	262383	231747
531	262850	231229
532	263374	230761
533	263833	230236
534	264309	229727
535	264763	229198
536	265220	228672
537	265686	228154
538	266154	227638
539	266617	227118
540	267076	226595
541	267559	226092
542	268018	225569
543	268531	225092
544	269009	224585
545	269501	224090
546	269993	223595
547	270441	223064
548	270894	222538
549	271332	221999
550	271801	221486
551	272278	220979
552	272764	220480
553	273248	219979
554	273745	219489
555	274214	218977
556	274675	218458
557	275120	217927
558	275575	217404
559	276039	216888
560	276487	216360
561	276977	215865
562	277431	215342
563	277904	214833
564	278393	214338
565	278933	213882
566	279392	213363
567	279898	212880
568	280373	212374
569	280903	211909
570	281369	211397
571	281902	210933
572	282355	210411
573	282859	209927
574	283342	209426
575	283835	208934
576	284310	208428
577	284749	207896
578	285269	207424
579	285717	206898
580	286213	206409
581	286686	205901
582	287168	205401
583	287652	204902
584	288165	204425
585	288685	203951
586	289159	203446
587	289628	202937
588	290124	202447
589	290616	201953
590	291080	201441
591	291546	200930
592	291992	200406
593	292460	199897
594	292932	199391
595	293403	198884
596	293895	198392
597	294354	197877
598	294842	197381
599	295337	196891
600	295805	196383
601	296299	195892
602	296819	195418
603	297303	194920
604	297779	194417
605	298236	193902
606	298732	193413
607	299246	192935
608	299697	192416
609	300102	191868
610	300571	191361
611	301060	190868
612	301499	190343
613	301958	189830
614	302467	189349
615	302982	188872
616	303528	188413
617	304002	187910
618	304523	187436
619	305017	186946
620	305503	186450
621	305972	185944
622	306441	185438
623	306969	184969
624	307433	184460
625	307897	183951
626	308389	183459
627	308868	182960
628	309396	182490
629	309846	181973
630	310378	181504
631	310883	181020
632	311426	180558
633	311898	180054
634	312349	179539
635	312811	179030
636	313270	178519
637	313766	178030
638	314237	177526
639	314681	177008
640	315128	176491
641	315619	175999
642	316169	175540
643	316613	175022
644	317133	174546
645	317601	174041
646	318046	173524
647	318485	173004
648	318951	172499
649	319456	172015
650	319934	171516
651	320432	171028
652	320905	170527
653	321353	170012
654	321836	169517
655	322378	169052
656	322832	168541
657	323294	168034
658	323782	167541
659	324253	167039
660	324752	166552
661	325206	166042
662	325720	165562
663	326194	165062
664	326657	164556
665	327155	164068
666	327644	163576
667	328145	163090
668	328604	162582
669	329053	162071
670	329499	161557
671	329987	161065
672	330483	160576
673	331042	160118
674	331491	159607
675	331961	159106
676	332427	158602
677	332867	158087
678	333356	157595
679	333809	157086
680	334364	156626
681	334871	156142
682	335341	155641
683	335804	155137
684	336298	154648
685	336767	154147
686	337257	153655
687	337757	153169
688	338226	152668
689	338699	152169
690	339185	151676
691	339692	151192
692	340165	150693
693	340646	150198
694	341138	149708
695	341618	149212
696	342067	148703
697	342581	148222
698	343099	147743
699	343556	147238
700	344026	146738
701	344472	146228
702	345016	145761
703	345512	145272
704	346002	144781
705	346474	144282
706	346942	143782
707	347428	143289
708	347920	142799
709	348387	142299
710	348857	141799
711	349372	141319
712	349834	140816
713	350355	140338
714	350876	139859
715	351383	139375
716	351852	138876
717	352335	138382
718	352810	137885
719	353319	137402
720	353831	136919
721	354331	136432
722	354814	135938
723	355275	135436
724	355736	134934
725	356188	134429
726	356660	133931
727	357139	133436
728	357605	132937
729	358095	132446
730	358588	131956
731	359059	131459
732	359563	130973
733	360048	130480
734	360563	129999
735	361030	129500
736	361493	128999
737	361965	128502
738	362356	127977
739	362812	127474
740	363300	126983
741	363746	126477
742	364204	125976
743	364663	125475
744	365105	124969
745	365612	124484
746	366095	123992
747	366592	123504
748	367107	123022
749	367580	122526
750	368043	122027
751	368524	121534
752	369007	121042
753	369480	120546
754	369850	120017
755	370344	119529
756	370860	119047
757	371334	118552
758	371827	118063
759	372286	117564
760	372745	117064
761	373209	116566
762	373695	116075
763	374202	115591
764	374714	115108
765	375171	114608
766	375643	114113
767	376121	113619
768	376600	113126
769	377087	112636
770	377582	112148
771	378052	111652
772	378523	111157
773	379008	110666
774	379405	110150
775	379860	109650
776	380313	109150
777	380777	108653
778	381227	108152
779	381722	107665
780	382225	107179
781	382726	106693
782	383118	106177
783	383590	105683
784	384083	105194
785	384608	104715
786	385094	104224
787	385599	103739
788	386047	103239
789	386525	102747
790	386992	102252
791	387471	101760
792	387946	101267
793	388439	100778
794	388921	100287
795	389388	99793
796	389876	99303
797	390333	98806
798	390817	98315
799	391340	97835
800	391824	97344
801	392304	96853
802	392779	96360
803	393283	95875
804	393789	95389
805	394260	94896
806	394733	94403
807	395195	93907
808	395679	93417
809	396172	92929
810	396648	92437
811	397173	91956
812	397682	91471
813	398211	90991
814	398649	90491
815	399108	89994
816	399579	89501
817	400057	89010
818	400564	88525
819	401027	88030
820	401493	87536
821	401784	87004
822	402232	86506
823	402691	86011
824	403144	85515
825	403619	85023
826	404087	84530
827	404580	84043
828	405004	83541
829	405499	83054
830	406012	82570
831	406541	82090
832	407032	81601
833	407514	81111
834	408006	80623
835	408468	80130
836	408953	79640
837	409432	79150
838	409963	78669
839	410444	78179
840	410923	77689
841	411422	77202
842	411907	76713
843	412396	76224
844	412904	75739
845	413372	75247
846	413876	74761
847	414353	74270
848	414817	73777
849	415280	73284
850	415669	72778
851	416149	72288
852	416534	71782
853	417028	71295
854	417429	70792
855	417910	70302
856	418385	69812
857	418758	69305
858	419242	68816
859	419683	68320
860	420136	67826
861	420599	67334
862	421122	66852
863	421634	66368
864	422130	65881
865	422594	65389
866	422977	64885
867	423504	64403
868	423986	63915
869	424433	63421
870	424919	62932
871	425452	62451
872	425925	61961
873	426390	61470
874	426883	60983
875	427346	60492
876	427816	60001
877	428278	59510
878	428728	59017
879	429173	58523
880	429636	58032
881	430115	57543
882	430594	57055
883	431057	56564
884	431515	56072
885	432022	55587
886	432460	55093
887	432951	54606
888	433440	54119
889	433923	53630
890	434412	53143
891	434858	52651
892	435304	52158
893	435707	51661
894	436219	51176
895	436718	50690
896	437183	50200
897	437651	49710
898	438150	49224
899	438650	48738
900	439091	48246
901	439567	47757
902	440038	47268
903	440577	46787
904	441059	46299
905	441535	45810
906	441987	45319
907	442460	44830
908	442957	44344
909	443426	43855
910	443908	43367
911	444370	42877
912	444837	42388
913	445334	41902
914	445863	41419
915	446311	40928
916	446763	40437
917	447230	39948
918	447669	39457
919	448168	38971
920	448644	38483
921	449153	37997
922	449632	37510
923	450069	37018
924	450543	36530
925	451037	36044
926	451479	35553
927	451966	35066
928	452440	34578
929	452960	34093
930	453454	33607
931	453899	33117
932	454355	32627
933	454798	32137
934	455317	31653
935	455791	31165
936	456250	30676
937	456728	30188
938	457187	29700
939	457629	29210
940	458130	28724
941	458605	28236
942	459138	27752
943	459538	27260
944	460002	26772
945	460530	26288
946	460992	25800
947	461478	25313
948	461920	24823
949	462401	24336
950	462838	23847
951	463340	23361
952	463810	22874
953	464326	22388
954	464813	21902
955	465125	21407
956	465610	20920
957	466090	20434
958	466542	19946
959	467042	19460
960	467518	18973
961	468049	18488
962	468557	18002
963	469077	17517
964	469532	17029
965	469990	16542
966	470528	16057
967	470987	15569
968	471417	15081
969	471909	14595
970	472379	14108
971	472862	13621
972	473324	13134
973	473825	12648
974	474300	12161
975	474756	11674
976	475242	11187
977	475760	10702
978	476111	10212
979	476588	9726
980	477115	9240
981	477574	8753
982	478037	8267
983	478530	7780
984	478976	7294
985	479430	6807
986	479919	6321
987	480419	5835
988	480920	5348
989	481409	4862
990	481906	4376
991	482403	3890
992	482868	3403
993	483340	2917
994	483812	2431
995	484310	1945
996	484784	1458
997	485243	972
998	485710	486
999	486200	0
