iter	Logloss	PRAUC
440	0.1401438352	0.1129951381
445	0.1401280682	0.1131582881
450	0.1401140767	0.1133013433
455	0.1400970739	0.1134426524
460	0.1400804545	0.1136101242
465	0.1400552699	0.1137525571
470	0.140031875	0.113924717
475	0.1400173722	0.1140956392
480	0.1399984375	0.1142784792
485	0.1399726136	0.114470055
490	0.1399534375	0.1146352608
495	0.1399409375	0.1147781197
500	0.1399225142	0.1149301711
505	0.1399074716	0.1150898051
510	0.1398899858	0.1152351142
515	0.1398768324	0.1153954348
520	0.1398605824	0.1155451593
525	0.139846321	0.1157096119
530	0.1398312358	0.1158797078
535	0.1398166619	0.116066698
540	0.139801392	0.1162364985
545	0.1397850994	0.1163514239
550	0.1397704119	0.116473246
555	0.139757571	0.1166304972
560	0.1397458381	0.1167627034
565	0.1397303125	0.1169393981
570	0.1397198864	0.1170666181
575	0.1397097159	0.1171968373
580	0.139697983	0.1173190738
585	0.139678608	0.1174811194
590	0.1396652415	0.1176665331
595	0.1396521733	0.1177986243
600	0.1396413068	0.1178867684
605	0.1396290767	0.1180267188
610	0.1396137074	0.1181724502
615	0.1395941051	0.1183416425
620	0.139584517	0.1184321208
625	0.1395735511	0.118558747
630	0.1395614773	0.1187176235
635	0.1395475284	0.1188488917
640	0.139534858	0.1189905924
645	0.1395232244	0.1191334104
650	0.1395072301	0.1192427559
655	0.1394950568	0.1193119864
660	0.139475767	0.1195206615
665	0.1394622301	0.1196621752
670	0.1394467472	0.1198050879
675	0.1394365483	0.1199737703
680	0.1394216903	0.1201372983
685	0.1394098011	0.1202572739
690	0.1393988352	0.1203716978
695	0.1393882386	0.120509396
700	0.1393774006	0.1206386621
705	0.1393627131	0.1207808801
710	0.1393521733	0.1208872259
715	0.1393394744	0.1210258412
720	0.1393283665	0.1211799392
725	0.1393189205	0.1212983588
730	0.1393079119	0.1214631466
735	0.139295142	0.121615631
740	0.1392840483	0.1217707377
745	0.139271804	0.1219392847
750	0.1392597443	0.1220653508
755	0.1392477415	0.1221863031
760	0.1392368892	0.1223063188
765	0.1392208381	0.1224744022
770	0.1392074574	0.1226527281
775	0.1391975284	0.1227749688
780	0.1391875142	0.1229221441
785	0.1391733381	0.1230448768
790	0.1391621023	0.1231841405
795	0.139145483	0.1233747609
800	0.1391382102	0.1234696782
805	0.1391270455	0.1235768171
810	0.1391196875	0.123672788
815	0.1391112358	0.1237748308
820	0.1391002557	0.1239104704
825	0.1390924148	0.124028123
830	0.1390780256	0.1242017114
835	0.1390669744	0.1243378033
840	0.1390547727	0.1244835367
845	0.1390396875	0.12465053
850	0.1390299716	0.1247771478
855	0.139018125	0.1249463972
860	0.1390083097	0.1250660749
865	0.1389955682	0.1251686803
870	0.1389860085	0.1252774257
875	0.1389736364	0.1253847182
880	0.1389658097	0.1254919757
885	0.1389553693	0.1256288548
890	0.138942642	0.12576656
895	0.1389323153	0.1259058352
900	0.1389220739	0.1260153092
905	0.1389118324	0.1261804177
910	0.1389006108	0.1263008127
915	0.1388904119	0.1263711627
920	0.1388820455	0.1264922851
925	0.1388699716	0.1266455521
930	0.1388588636	0.1267607756
935	0.1388498438	0.1268676509
940	0.138838892	0.1269806775
945	0.1388292756	0.1271058167
950	0.1388196023	0.1272246151
955	0.1388072727	0.1273376873
960	0.1387979261	0.1274609215
965	0.1387841051	0.1276201687
970	0.1387756818	0.1277320961
975	0.1387660085	0.1278363038
980	0.1387551705	0.1280108636
985	0.1387458381	0.1281221224
990	0.1387348438	0.1282500288
995	0.1387272443	0.1283503786
999	0.1387199148	0.1284581109
